mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1605.1979_7.674,5630.473132457681,6532.111788880644,1.1601355046390927,0.00465,0.2142933229852597,2.332547047110046,1605.1979,7.674,6292.6294,1605.1979_7.674,1605.1979_7.674,1
1609.235_8.392,5750.826882556997,7086.617615861649,1.232278028983324,0.00961,0.30132779644055174,2.0172766123314547,1609.235,8.392,7032.073,Cluster_1609.235_8.392,1608.2268_8.392;1609.235_8.392,2
1610.32_9.892,2819.696135923783,2054.511682306171,0.7286287540458952,1.81e-4,-0.4567441652734875,3.7423214251308154,1610.32,9.892,2626.6543,1610.32_9.892,1610.32_9.892,1
1611.8348_9.901,4819.29045655091,4022.637906406154,0.8346950536957451,0.0321,-0.26067887319941957,1.493494967595128,1611.8348,9.901,4848.751,1611.8348_9.901,1611.8348_9.901,1
1618.2939_8.956,3825.1782744723055,3247.5093203573547,0.8489824754129552,0.0149,-0.23619332072714247,1.826813731587726,1618.2939,8.956,4154.381,1618.2939_8.956,1618.2939_8.956,1
1619.2973_8.957,4197.6059114568625,3646.026389349219,0.8685966396697286,0.0205,-0.2032417234232057,1.6882461389442456,1619.2973,8.957,4614.09,1619.2973_8.957,1619.2973_8.957,1
1621.2757_7.96,17794.717402911898,20475.647955175824,1.1506587877492915,0.0208,0.20246008524941325,1.6819366650372385,1621.2757,7.96,20468.516,1621.2757_7.96,1621.2757_7.96,1
1623.2097_7.994,84653.21455015917,105934.15973343603,1.2513896878737825,0.0293,0.3235311206133273,1.5331323796458904,1623.2097,7.994,80413.7,1623.2097_7.994,1623.2097_7.994,1
1636.3352_9.901,4253.7848671375605,4915.477648963781,1.1555538896520368,0.0415,0.2085845419525426,1.3819519032879073,1636.3352,9.901,5469.467,1636.3352_9.901,1636.3352_9.901,1
1646.2057_7.997,11400.058151393385,13358.051385530423,1.1717529163566347,0.0256,0.22866838552145483,1.5917600346881504,1646.2057,7.997,12149.543,1646.2057_7.997,1646.2057_7.997,1
1648.3413_9.902,6246.6956792263245,7226.596278087526,1.156867030055571,0.0237,0.21022305104546732,1.6252516539898962,1648.3413,9.902,7599.1577,1648.3413_9.902,1648.3413_9.902,1
1649.3444_10.225,3333.2201071427608,2365.2732420621537,0.7096060764164981,7.33e-4,-0.4949097312765503,3.1348960253588722,1649.3444,10.225,3057.0552,1649.3444_10.225,1649.3444_10.225,1
